Index       TIME              V(IN)            V(OUT1)           V(OUT)             V(N3)      
0        0.00000000e+00    0.00000000e+00    1.59624926e-06    1.59624927e-06    6.99998283e-01
1        5.00000000e-13    0.00000000e+00    1.59624926e-06    1.59624927e-06    6.99998283e-01
2        1.50000000e-12    0.00000000e+00    1.59624926e-06    1.59624927e-06    6.99998283e-01
3        3.50000000e-12    0.00000000e+00    1.59624923e-06    1.59624924e-06    6.99998283e-01
4        7.50000000e-12    0.00000000e+00    1.59624927e-06    1.59624929e-06    6.99998283e-01
5        1.55000000e-11    0.00000000e+00    1.59624926e-06    1.59624925e-06    6.99998283e-01
6        2.55000000e-11    0.00000000e+00    1.59624926e-06    1.59624928e-06    6.99998283e-01
7        3.55000000e-11    0.00000000e+00    1.59624926e-06    1.59624926e-06    6.99998283e-01
8        4.55000000e-11    0.00000000e+00    1.59624927e-06    1.59624928e-06    6.99998283e-01
9        5.55000000e-11    0.00000000e+00    1.59624925e-06    1.59624925e-06    6.99998283e-01
10       6.55000000e-11    0.00000000e+00    1.59624927e-06    1.59624929e-06    6.99998283e-01
11       7.55000000e-11    0.00000000e+00    1.59624926e-06    1.59624924e-06    6.99998283e-01
12       8.55000000e-11    0.00000000e+00    1.59624926e-06    1.59624929e-06    6.99998283e-01
13       9.55000000e-11    0.00000000e+00    1.59624926e-06    1.59624925e-06    6.99998283e-01
14       1.00000000e-10    0.00000000e+00    1.59624927e-06    1.59624928e-06    6.99998283e-01
15       1.00025000e-10    1.75000000e-02    3.61885674e-04    1.43693201e-05    7.00006010e-01
16       1.00047500e-10    3.32500000e-02    8.68592366e-04    3.95362027e-05    7.00022187e-01
17       1.00070000e-10    4.90000000e-02    1.45724626e-03    7.22695711e-05    7.00043607e-01
18       1.00115000e-10    8.05000000e-02    3.02130856e-03    1.87012105e-04    7.00121496e-01
19       1.00160000e-10    1.12000000e-01    4.90904798e-03    3.66643693e-04    7.00245795e-01
20       1.00205000e-10    1.43500000e-01    6.91726614e-03    5.96815517e-04    7.00403860e-01
21       1.00295000e-10    2.06500000e-01    1.08527473e-02    1.10430115e-03    7.00725722e-01
22       1.00385000e-10    2.69500000e-01    1.44829219e-02    1.56137789e-03    7.00955940e-01
23       1.00475000e-10    3.32500000e-01    1.77640729e-02    1.88170195e-03    7.01031717e-01
24       1.00655000e-10    4.58500000e-01    2.32950240e-02    2.09641917e-03    7.00818229e-01
25       1.00835000e-10    5.84500000e-01    2.69771427e-02    1.84276041e-03    7.00331266e-01
26       1.01000000e-10    7.00000000e-01    2.73567294e-02    1.23469607e-03    6.99773207e-01
27       1.01010955e-10    7.00000000e-01    2.71335496e-02    1.17755926e-03    6.99731387e-01
28       1.01020752e-10    7.00000000e-01    2.68728203e-02    1.12294055e-03    6.99692365e-01
29       1.01030550e-10    7.00000000e-01    2.65823641e-02    1.06644379e-03    6.99652440e-01
30       1.01050144e-10    7.00000000e-01    2.58316049e-02    9.40919468e-04    6.99566144e-01
31       1.01089333e-10    7.00000000e-01    2.37511261e-02    6.31602626e-04    6.99360778e-01
32       1.01128523e-10    7.00000000e-01    2.10754858e-02    2.40894693e-04    6.99107979e-01
33       1.01167712e-10    7.00000000e-01    1.80252980e-02   -2.22995519e-04    6.98814248e-01
34       1.01246090e-10    7.00000000e-01    1.14600197e-02   -1.27061164e-03    6.98191603e-01
35       1.01324468e-10    7.00000000e-01    4.78733249e-03   -2.33505886e-03    6.97645540e-01
36       1.01402847e-10    7.00000000e-01   -1.61605578e-03   -3.26401705e-03    6.97296126e-01
37       1.01481225e-10    7.00000000e-01   -7.61152543e-03   -3.97542211e-03    6.97186037e-01
38       1.01637982e-10    7.00000000e-01   -1.82903019e-02   -4.72116114e-03    6.97542861e-01
39       1.01794738e-10    7.00000000e-01   -2.73126951e-02   -4.73071153e-03    6.98354077e-01
40       1.01951495e-10    7.00000000e-01   -3.49042200e-02   -4.28504085e-03    6.99248461e-01
