Index       TIME              V(IN)            V(OUT1)           V(OUT)             V(N3)      
0        0.00000000e+00    0.00000000e+00    1.36822324e-06    1.36822325e-06    6.99998042e-01
1        5.00000000e-13    0.00000000e+00    1.36822324e-06    1.36822325e-06    6.99998042e-01
2        1.50000000e-12    0.00000000e+00    1.36822324e-06    1.36822325e-06    6.99998042e-01
3        3.50000000e-12    0.00000000e+00    1.36822323e-06    1.36822325e-06    6.99998042e-01
4        7.50000000e-12    0.00000000e+00    1.36822328e-06    1.36822324e-06    6.99998042e-01
5        1.55000000e-11    0.00000000e+00    1.36822320e-06    1.36822325e-06    6.99998042e-01
6        2.55000000e-11    0.00000000e+00    1.36822330e-06    1.36822325e-06    6.99998042e-01
7        3.55000000e-11    0.00000000e+00    1.36822317e-06    1.36822324e-06    6.99998042e-01
8        4.55000000e-11    0.00000000e+00    1.36822332e-06    1.36822325e-06    6.99998042e-01
9        5.55000000e-11    0.00000000e+00    1.36822317e-06    1.36822324e-06    6.99998042e-01
10       6.55000000e-11    0.00000000e+00    1.36822332e-06    1.36822325e-06    6.99998042e-01
11       7.55000000e-11    0.00000000e+00    1.36822317e-06    1.36822324e-06    6.99998042e-01
12       8.55000000e-11    0.00000000e+00    1.36822329e-06    1.36822325e-06    6.99998042e-01
13       9.55000000e-11    0.00000000e+00    1.36822321e-06    1.36822324e-06    6.99998042e-01
14       1.00000000e-10    0.00000000e+00    1.36822327e-06    1.36822325e-06    6.99998042e-01
15       1.00031129e-10    2.17902191e-02    1.60084340e-03    2.19423689e-05    7.00005547e-01
16       1.00056864e-10    3.98045343e-02    3.25573407e-03    4.42251016e-05    7.00015395e-01
17       1.00082598e-10    5.78188495e-02    5.01324669e-03    6.80614325e-05    7.00026729e-01
18       1.00134068e-10    9.38474800e-02    8.69951927e-03    1.15615365e-04    7.00053641e-01
19       1.00237007e-10    1.65904741e-01    1.52045170e-02    1.76747999e-04    7.00094328e-01
20       1.00339946e-10    2.37962002e-01    2.03785839e-02    1.97185174e-04    7.00103125e-01
21       1.00545824e-10    3.82076523e-01    2.81389243e-02    1.96196950e-04    7.00072405e-01
22       1.00751701e-10    5.26191045e-01    3.21405538e-02    1.60869477e-04    7.00024475e-01
23       1.00957579e-10    6.70305567e-01    2.96032215e-02    7.08102967e-05    6.99963072e-01
24       1.01000000e-10    7.00000000e-01    2.80541870e-02    4.41637242e-05    6.99947589e-01
25       1.01018529e-10    7.00000000e-01    2.64435325e-02    2.20886611e-05    6.99937661e-01
26       1.01035178e-10    7.00000000e-01    2.47265587e-02   -1.49167140e-06    6.99926808e-01
27       1.01051827e-10    7.00000000e-01    2.29007551e-02   -2.66239158e-05    6.99915039e-01
28       1.01085126e-10    7.00000000e-01    1.88583724e-02   -8.15759809e-05    6.99887398e-01
29       1.01151722e-10    7.00000000e-01    1.06104749e-02   -1.81478694e-04    6.99830794e-01
30       1.01218319e-10    7.00000000e-01    2.96069704e-03   -2.51484554e-04    6.99789541e-01
31       1.01351513e-10    7.00000000e-01   -1.01978307e-02   -3.22998405e-04    6.99769380e-01
32       1.01484706e-10    7.00000000e-01   -2.09851980e-02   -3.44923499e-04    6.99800990e-01
33       1.01751093e-10    7.00000000e-01   -3.73722723e-02   -3.36238003e-04    6.99890862e-01
34       1.02283866e-10    7.00000000e-01   -5.76370771e-02   -2.66629307e-04    7.00007497e-01
35       1.02816640e-10    7.00000000e-01   -6.85885701e-02   -1.94564295e-04    7.00038588e-01
36       1.03349414e-10    7.00000000e-01   -7.03427831e-02   -8.98613442e-05    7.00059464e-01
37       1.03882187e-10    7.00000000e-01   -4.83350318e-02    1.64463214e-04    7.00135536e-01
38       1.04309617e-10    7.00000000e-01   -7.33439541e-03    4.48566114e-04    7.00203431e-01
39       1.04690201e-10    7.00000000e-01    4.43003205e-02    6.84379600e-04    7.00219237e-01
40       1.05070784e-10    7.00000000e-01    1.05545095e-01    8.84000985e-04    7.00203947e-01
41       1.05451368e-10    7.00000000e-01    1.72278225e-01    1.06332754e-03    7.00184318e-01
42       1.05831952e-10    7.00000000e-01    2.41480764e-01    1.22870194e-03    7.00168620e-01
43       1.06593119e-10    7.00000000e-01    3.74625353e-01    1.30285237e-03    7.00054757e-01
44       1.07278170e-10    7.00000000e-01    4.79453422e-01    6.94700703e-04    6.99748157e-01
45       1.07872422e-10    7.00000000e-01    5.48660599e-01   -6.03433211e-04    6.99334228e-01
46       1.08365313e-10    7.00000000e-01    5.86318740e-01   -2.02697004e-03    6.99058768e-01
47       1.08808915e-10    7.00000000e-01    6.07738990e-01   -3.36376254e-03    6.98949002e-01
48       1.09252517e-10    7.00000000e-01    6.21225528e-01   -4.64722187e-03    6.98936911e-01
49       1.09696119e-10    7.00000000e-01    6.29959602e-01   -5.83063467e-03    6.98986897e-01
50       1.10583322e-10    7.00000000e-01    6.42067080e-01   -6.30944975e-03    6.99733312e-01
51       1.11372230e-10    7.00000000e-01    6.49847950e-01   -2.94473747e-03    7.01348997e-01
52       1.12082247e-10    7.00000000e-01    6.58576506e-01    3.37768555e-03    7.02981338e-01
53       1.12653234e-10    7.00000000e-01    6.66901085e-01    1.00404038e-02    7.03953020e-01
54       1.13224222e-10    7.00000000e-01    6.74850508e-01    1.74728242e-02    7.04558238e-01
55       1.13795210e-10    7.00000000e-01    6.81603601e-01    2.53742663e-02    7.04914767e-01
56       1.14366198e-10    7.00000000e-01    6.86795545e-01    3.35636049e-02    7.05132470e-01
57       1.15508174e-10    7.00000000e-01    6.93558177e-01    5.04151944e-02    7.05365243e-01
